student_id,overdue_milestones,days_since_last_meeting,progress_deficit,late_completion
stu000,1,14,-0.1145,False
stu001,2,23,-0.0175,False
stu002,1,64,-0.0247,False
stu003,1,22,0.1554,True
stu004,2,23,0.2105,False
stu005,0,24,-0.0447,False
stu006,1,176,0.3818,True
stu007,3,43,-0.1469,False
stu008,0,15,0.2972,False
stu009,1,14,-0.1553,False
stu010,2,55,0.2104,True
stu011,1,9,-0.0134,False
stu012,2,65,-0.1282,False
stu013,2,94,0.1136,False
stu014,0,10,0.3445,True
stu015,1,19,-0.0261,False
stu016,2,52,0.2822,True
stu017,3,88,-0.0092,True
stu018,1,84,-0.1958,False
stu019,1,27,0.3657,False
stu020,1,17,0.3775,True
stu021,1,15,0.1657,False
stu022,0,51,-0.1131,False
stu023,3,62,-0.0574,False
stu024,1,90,-0.1458,False
stu025,1,106,0.1073,True
stu026,1,53,0.362,True
stu027,1,28,0.2903,False
stu028,1,29,0.3403,False
stu029,1,85,0.3323,True
stu030,2,43,-0.1391,False
stu031,0,42,0.1912,False
stu032,2,20,0.1898,False
stu033,2,18,-0.0409,False
stu034,3,66,0.2245,True
stu035,2,10,-0.0315,True
stu036,2,34,0.3782,False
stu037,1,73,-0.0983,False
stu038,3,57,0.169,False
stu039,1,74,0.2182,True
stu040,1,67,0.3202,False
stu041,1,91,0.2212,True
stu042,3,13,0.147,True
stu043,1,6,-0.1817,True
stu044,3,17,0.262,False
stu045,1,148,0.2357,True
stu046,1,73,0.0634,True
stu047,0,19,-0.1061,False
stu048,2,69,0.3554,True
stu049,1,11,0.0136,False
stu050,0,31,0.095,False
stu051,0,5,0.1811,True
stu052,1,38,0.1952,True
stu053,0,32,0.3641,False
stu054,1,22,0.3649,False
stu055,3,25,0.2824,True
stu056,2,22,0.1774,False
stu057,2,22,0.2504,False
stu058,3,6,0.0045,False
stu059,2,97,-0.1381,False
stu060,1,24,0.0335,True
stu061,3,30,0.3704,False
stu062,2,6,0.2035,False
stu063,2,21,0.0649,False
stu064,1,56,-0.1495,False
stu065,0,54,-0.1491,False
stu066,1,78,0.2325,False
stu067,1,98,0.0956,True
stu068,0,29,0.1895,False
